	taxid	species	target_name	tlen	query name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description of target	chimera	superkingdom	kingdom	phylum	order	sci_name	color
51	2799617	Myxococcaceae bacterium JPH2	MBJ6759782.1	972.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	2.2e-50	186.3	0.0	2.0	2.0	8.499999999999999e-37	5.400000000000001e-30	119.0	0.0	276.0	641.0	428.0	799.0	416.0	804.0	0.8	hypothetical protein [Myxococcaceae bacterium JPH2]	False	Bacteria		Myxococcota	Myxococcales	Myxococcaceae bacterium JPH2	blue
20	543379	Trichomalopsis sarcophagae	OXU26561.1	567.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	4.499999999999999e-94	330.7	17.5	3.0	4.0	5.1000000000000004e-36	3.1999999999999997e-29	116.4	1.4	264.0	465.0	237.0	424.0	229.0	432.0	0.9	hypothetical protein TSAR_014715, partial [Trichomalopsis sarcophagae]	False	Eukaryota	Metazoa	Arthropoda	Hymenoptera	Trichomalopsis sarcophagae	pink
41	2249307	Solimicrobium sp.	MCD6027329.1	1217.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	3.3999999999999997e-31	122.9	8.1	2.0	2.0	1.4e-35	9.2e-29	114.9	3.3	134.0	643.0	458.0	1007.0	441.0	1017.0	0.71	hypothetical protein [Solimicrobium sp.]	False	Bacteria		Pseudomonadota	Burkholderiales	Solimicrobium sp.	blue
30	1798288	Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_45_12	OGT61031.1	812.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	2.1999999999999997e-62	226.0	6.5	2.0	2.0	1.7999999999999993e-35	1.1000000000000002e-28	114.6	0.5	259.0	633.0	406.0	781.0	391.0	794.0	0.81	hypothetical protein A3E85_05740 [Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_45_12]	False	Bacteria		Pseudomonadota		Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_45_12	blue
35	1918945	Vibrio spartinae	WP_182287351.1	768.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	4.6e-50	185.3	8.5	2.0	2.0	1.4999999999999998e-29	9.5e-23	95.0	1.6	270.0	643.0	401.0	764.0	355.0	766.0	0.8	hypothetical protein [Vibrio spartinae]	False	Bacteria		Pseudomonadota	Vibrionales	CECT 9026	blue
36	1977087	Pseudomonadota bacterium	MBS0351775.1	539.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	1.3e-32	127.6	0.5	2.0	2.0	2.5e-29	1.6000000000000004e-22	94.3	0.3	390.0	642.0	251.0	504.0	205.0	512.0	0.78	hypothetical protein [Pseudomonadota bacterium]	False	Bacteria		Pseudomonadota		Pseudomonadota bacterium	blue
49	2740535	Tatlockia sp.	MBA2655893.1	1324.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	2e-44	166.7	7.6	1.0	2.0	3.5000000000000004e-28	2.2e-21	90.5	0.1	7.0	230.0	11.0	258.0	7.0	290.0	0.69	WD40 repeat domain-containing protein [Tatlockia sp.]	False	Bacteria		Pseudomonadota	Legionellales	Tatlockia sp.	blue
29	1797696	Coxiella sp. RIFCSPHIGHO2_12_FULL_42_15	OGO92592.1	680.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	2.4e-34	133.3	2.4	2.0	2.0	4.8e-25	3e-18	80.1	0.7	389.0	643.0	425.0	675.0	372.0	680.0	0.81	MAG: hypothetical protein A3F10_00610 [Coxiella sp. RIFCSPHIGHO2_12_FULL_42_15]	False	Bacteria		Pseudomonadota	Legionellales	Coxiella sp. RIFCSPHIGHO2_12_FULL_42_15	blue
3	459	Legionella sp.	MBA2649741.1	836.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	2.3999999999999997e-38	146.5	0.0	2.0	2.0	3.8e-23	2.4e-16	73.9	0.2	388.0	643.0	570.0	825.0	535.0	828.0	0.84	ankyrin repeat domain-containing protein [Legionella sp.]	False	Bacteria		Pseudomonadota	Legionellales	Legionella sp.	blue
9	45065	Legionella geestiana	WP_135842258.1	673.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	2.100000000000001e-33	130.3	0.0	2.0	2.0	1.1e-22	6.900000000000003e-16	72.4	0.0	399.0	643.0	417.0	668.0	408.0	671.0	0.74	hypothetical protein [Legionella geestiana]	False	Bacteria		Pseudomonadota	Legionellales	Legionella geestiana	blue
32	1891238	Burkholderiales bacterium	MBP9741783.1	996.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	9.3e-26	105.0	4.5	2.0	2.0	4.8999999999999996e-20	3.1e-13	63.6	0.3	368.0	644.0	687.0	976.0	676.0	982.0	0.75	hypothetical protein [Burkholderiales bacterium]	False	Bacteria		Pseudomonadota	Burkholderiales	Burkholderiales bacterium	blue
56	2919578	Massilia sp. MB5	WP_240736984.1	162.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	6.3e-10	52.7	0.0	1.0	1.0	1.2e-16	7.7e-10	52.4	0.0	503.0	644.0	7.0	151.0	2.0	159.0	0.85	hypothetical protein [Massilia sp. MB5]	False	Bacteria		Pseudomonadota	Burkholderiales	Massilia sp. MB5	blue
57	2963106	Massilia sp. YIM B04103	WP_256081935.1	806.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	3e-22	93.4	0.0	2.0	2.0	1.2e-16	7.9e-10	52.3	0.0	426.0	644.0	573.0	795.0	534.0	803.0	0.78	hypothetical protein [Massilia sp. YIM B04103]	False	Bacteria		Pseudomonadota	Burkholderiales	Massilia sp. YIM B04103	blue
26	1678028	Massilia sp. NR 4-1	AKU22916.1	786.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	2e-24	100.6	0.0	2.0	2.0	1.6e-16	1e-09	51.9	0.0	436.0	644.0	569.0	775.0	543.0	783.0	0.78	hypothetical protein ACZ75_17070 [Massilia sp. NR 4-1]	False	Bacteria		Pseudomonadota	Burkholderiales	Massilia sp. NR 4-1	blue
12	83449	Cystobacter ferrugineus	WP_143177233.1	693.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	1.2e-19	84.8	0.0	2.0	2.0	2.9e-15	1.9e-08	47.8	0.0	416.0	643.0	452.0	671.0	373.0	676.0	0.73	hypothetical protein [Cystobacter ferrugineus]	False	Bacteria		Myxococcota	Myxococcales	Cystobacter ferrugineus	blue
40	2072590	Pseudoduganella armeniaca	AVR98568.1	756.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	1.4e-19	84.6	0.0	2.0	2.0	7.2e-15	4.6e-08	46.5	0.0	379.0	643.0	480.0	739.0	454.0	748.0	0.77	hypothetical protein C9I28_25245 [Pseudoduganella armeniaca]	False	Bacteria		Pseudomonadota	Burkholderiales	Pseudoduganella armeniaca	blue
52	2825886	Collimonas humicola	WP_211474742.1	797.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	6.5000000000000006e-21	89.0	0.1	1.0	2.0	1.5999999999999998e-14	1e-07	45.4	0.0	102.0	277.0	209.0	392.0	200.0	410.0	0.73	hypothetical protein [Collimonas humicola]	False	Bacteria		Pseudomonadota	Burkholderiales	Collimonas humicola Li et al. 2021	blue
43	2316720	Corallococcus interemptor	WP_121770885.1	1036.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	1.6e-16	74.5	0.0	3.0	3.0	7.299999999999999e-14	4.6e-07	43.2	0.0	511.0	645.0	640.0	785.0	623.0	791.0	0.71	hypothetical protein [Corallococcus interemptor]	False	Bacteria		Myxococcota	Myxococcales	Corallococcus interemptor Livingstone et al. 2020	blue
44	2316721	Corallococcus sp. AB049A	WP_121723053.1	1036.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	1.6e-16	74.5	0.0	3.0	3.0	7.299999999999999e-14	4.6e-07	43.2	0.0	511.0	645.0	640.0	785.0	623.0	791.0	0.71	hypothetical protein [Corallococcus sp. AB049A]	False	Bacteria		Myxococcota	Myxococcales	Corallococcus sp. AB049A	blue
28	1715466	Pseudoduganella violacea	WP_183443641.1	754.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	8.4e-18	78.7	0.0	2.0	2.0	9.4e-14	6e-07	42.8	0.0	422.0	643.0	522.0	743.0	481.0	752.0	0.78	hypothetical protein [Pseudoduganella violacea]	False	Bacteria		Pseudomonadota	Burkholderiales	Pseudoduganella violacea	blue
0	33	Myxococcus fulvus	WP_074955748.1	254.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	1.4e-06	41.6	0.0	1.0	1.0	3.1e-13	2e-06	41.1	0.0	539.0	642.0	143.0	248.0	108.0	251.0	0.77	hypothetical protein [Myxococcus fulvus]	False	Bacteria		Myxococcota	Myxococcales	Myxococcus fulvus	blue
25	1593482	Massilia sp. YMA4	WP_112939938.1	754.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	1.9e-17	77.5	0.0	1.0	2.0	5.2e-13	3.3e-06	40.4	0.0	100.0	228.0	158.0	291.0	144.0	301.0	0.81	hypothetical protein [Massilia sp. YMA4]	False	Bacteria		Pseudomonadota	Burkholderiales	Massilia sp. YMA4	blue
22	592317	[Empedobacter	TXE27611.1	756.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	4.4e-17	76.3	0.0	1.0	2.0	7.099999999999999e-13	4.5e-06	39.9	0.0	100.0	228.0	158.0	291.0	144.0	301.0	0.81	hypothetical protein E7V67_12370 [[Empedobacter] haloabium]	False	Bacteria		Bacteroidota	Flavobacteriales	[Empedobacter] haloabium	blue
7	34070	Telluria chitinolytica	WP_277415406.1	804.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	1.9e-15	70.9	0.0	1.0	2.0	7.3e-13	4.7e-06	39.9	0.0	101.0	228.0	226.0	359.0	219.0	392.0	0.8	hypothetical protein [Telluria chitinolytica]	False	Bacteria		Pseudomonadota	Burkholderiales	Telluria chitinolytica	blue
27	1714849	Aquimarina sp. AD10	WP_118502491.1	815.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	1.8000000000000002e-16	74.3	0.3	2.0	4.0	1.5e-11	9.4e-05	35.6	0.0	155.0	229.0	291.0	366.0	254.0	370.0	0.84	hypothetical protein [Aquimarina sp. AD10]	False	Bacteria		Bacteroidota	Flavobacteriales	Aquimarina sp. AD10	blue
45	2316722	Corallococcus aberystwythensis	WP_120554155.1	1033.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	2.1e-15	70.8	0.0	3.0	3.0	2.7e-11	0.0001699999999999	34.7	0.0	537.0	638.0	671.0	775.0	614.0	787.0	0.69	hypothetical protein [Corallococcus aberystwythensis]	False	Bacteria		Myxococcota	Myxococcales	Corallococcus aberystwythensis	blue
55	2911701	Thiotrichales bacterium 19X7-9	MCF6776695.1	1332.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	0.00026	34.1	0.0	2.0	5.0	4.1e-11	0.00026	34.1	0.0	149.0	237.0	362.0	452.0	357.0	472.0	0.87	hypothetical protein [Thiotrichales bacterium 19X7-9]	False	Bacteria		Pseudomonadota	Thiotrichales	Thiotrichales bacterium 19X7-9	blue
31	1869227	bacterium	NBV28782.1	709.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	1.5e-09	51.4	0.1	2.0	2.0	1.4e-09	0.0087	29.1	0.1	428.0	621.0	472.0	674.0	423.0	696.0	0.69	hypothetical protein [bacterium]	False	Bacteria				bacterium	blue
13	109894	Geranomyces variabilis	KAJ3169769.1	492.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	0.0046	30.0	0.0	2.0	2.0	7.7e-08	0.49	23.3	0.0	566.0	601.0	382.0	417.0	360.0	447.0	0.79	hypothetical protein HDU88_000406 [Geranomyces variabilis]	False	Eukaryota	Fungi	Chytridiomycota	Spizellomycetales	Geranomyces variabilis	brown
