	taxid	species	target_name	tlen	query name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description of target	chimera	superkingdom	kingdom	phylum	order	sci_name	color
197	101142.0	Thamnidium elegans	KAI8058886.1	335.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.2e-65	235.5	16.2	1.0	1.0	7.5e-71	1.2e-65	235.5	16.2	15.0	182.0	129.0	294.0	122.0	294.0	0.97	RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Thamnidium elegans]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Thamnidium elegans	brown
633	1314678.0	Umbelopsis ramanniana AG	XP_051440551.1	409.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.2e-65	235.4	20.1	1.0	1.0	7.6e-71	1.2e-65	235.4	20.1	15.0	182.0	203.0	368.0	191.0	368.0	0.96	uncharacterized protein K450DRAFT_215568 [Umbelopsis ramanniana AG]	False	Eukaryota	Fungi	Mucoromycota	Umbelopsidales	Umbelopsis ramanniana	brown
599	1234261.0	Didymodactylos carnosus	CAF0907758.1	294.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	9.5e-66	235.7	16.5	1.0	1.0	9.2e-71	1.4e-65	235.2	16.5	14.0	181.0	86.0	252.0	73.0	253.0	0.95	unnamed protein product [Didymodactylos carnosus]	False	Eukaryota	Metazoa	Rotifera	Philodinida	Didymodactylos carnosus	orange
935	2762512.0	Rotaria sp. Silwood2	CAF4717566.1	214.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.4e-65	235.2	17.0	1.0	1.0	1.1e-70	1.7000000000000001e-65	235.0	17.0	16.0	181.0	8.0	172.0	1.0	173.0	0.96	unnamed protein product, partial [Rotaria sp. Silwood2]	False	Eukaryota	Metazoa	Rotifera		Rotaria sp. Silwood2	orange
652	1329386.0	Fennellomyces sp. T-0311	KAI8145809.1	335.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	2.1e-65	234.6	17.1	1.0	1.0	1.4e-70	2.1e-65	234.6	17.1	15.0	182.0	129.0	294.0	122.0	294.0	0.97	RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Fennellomyces sp. T-0311]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Fennellomyces sp. T-0311	brown
428	562976.0	Helicostylum pulchrum	KAI9265548.1	327.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	3.1e-65	234.1	15.6	1.0	1.0	2e-70	3.1e-65	234.1	15.6	15.0	182.0	121.0	286.0	114.0	286.0	0.97	endo-beta-D-1,4-glucanase [Helicostylum pulchrum]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Helicostylum pulchrum	brown
132	64648.0	Mucor saturninus	KAG2207218.1	362.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	3.200000000000001e-65	234.0	19.6	1.0	1.0	2e-70	3.200000000000001e-65	234.0	19.6	15.0	182.0	155.0	321.0	145.0	321.0	0.97	hypothetical protein INT47_012271 [Mucor saturninus]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Mucor saturninus	brown
308	249248.0	Adineta ricciae	CAF1333794.1	362.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	3.6000000000000002e-65	233.9	18.7	1.0	1.0	2.3e-70	3.6000000000000002e-65	233.9	18.7	12.0	181.0	152.0	320.0	141.0	321.0	0.95	unnamed protein product [Adineta ricciae]	False	Eukaryota	Metazoa	Rotifera	Adinetida	Adineta ricciae	orange
190	101096.0	Gilbertella persicaria	XP_051433525.1	334.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	3.8e-65	233.8	18.5	1.0	1.0	2.5e-70	3.8e-65	233.8	18.5	14.0	182.0	127.0	293.0	120.0	293.0	0.97	endo-beta-D-1,4-glucanase [Gilbertella persicaria]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Gilbertella persicaria	brown
640	1314798.0	Backusella circina FSU 941	KAI8877461.1	351.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	4.500000000000001e-65	233.5	18.1	1.0	1.0	2.9e-70	4.500000000000001e-65	233.5	18.1	13.0	182.0	143.0	310.0	128.0	310.0	0.96	glycoside hydrolase family 45 protein [Backusella circina FSU 941]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Backusella circina	brown
855	2598192.0	Halicephalobus sp. NKZ332	KAE9547468.1	236.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	5.5e-65	233.3	13.7	1.0	1.0	4.7e-70	7.200000000000001e-65	232.9	13.7	16.0	181.0	29.0	193.0	16.0	194.0	0.96	hypothetical protein FO519_009318, partial [Halicephalobus sp. NKZ332]	False	Eukaryota	Metazoa	Nemata	Rhabditida	Halicephalobus sp. NKZ332	orange
653	1336337.0	Choiromyces venosus 120613-1	RPA93060.1	225.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	5.900000000000001e-65	233.2	12.4	1.0	1.0	4.9e-70	7.6e-65	232.8	12.4	13.0	181.0	17.0	183.0	4.0	184.0	0.95	glycoside hydrolase [Choiromyces venosus 120613-1]	False	Eukaryota	Fungi	Ascomycota	Pezizales	Choiromyces venosus	brown
117	60185.0	Phascolomyces articulosus	KAI9274431.1	330.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	7.900000000000001e-65	232.8	15.3	1.0	1.0	5.0999999999999996e-70	7.900000000000001e-65	232.8	15.3	15.0	181.0	123.0	288.0	115.0	289.0	0.95	RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Phascolomyces articulosus]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Phascolomyces articulosus	brown
43	29922.0	Mucor mucedo	XP_051460139.1	356.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1e-64	232.4	19.4	1.0	1.0	6.6e-70	1e-64	232.4	19.4	15.0	182.0	149.0	315.0	138.0	315.0	0.97	endo-beta-D-1,4-glucanase [Mucor mucedo]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Mucor mucedo	brown
403	456999.0	Rhizoctonia solani	CUA71157.1	245.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.4e-64	231.9	18.6	1.0	1.0	1.1999999999999998e-69	1.9e-64	231.5	18.6	13.0	182.0	36.0	204.0	27.0	204.0	0.96	Putative endoglucanase type K [Rhizoctonia solani]	False	Eukaryota	Fungi	Basidiomycota	Cantharellales	Rhizoctonia solani	brown
202	104782.0	Adineta vaga	UJR25708.1	364.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	2e-64	231.4	16.6	1.0	1.0	1.2999999999999998e-69	2e-64	231.4	16.6	15.0	182.0	157.0	323.0	146.0	323.0	0.96	hypothetical protein I4U23_007059 [Adineta vaga]	False	Eukaryota	Metazoa	Rotifera	Adinetida	Adineta vaga	orange
860	2600204.0	Ceratobasidium sp. 395	KAG8682751.1	227.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.7e-64	231.7	15.7	1.0	1.0	1.4e-69	2.1e-64	231.3	15.7	3.0	182.0	9.0	186.0	7.0	186.0	0.97	hypothetical protein FRC09_016548 [Ceratobasidium sp. 395]	False	Eukaryota	Fungi	Basidiomycota	Cantharellales	Ceratobasidium sp. 395	brown
790	1896174.0	Umbelopsis sp. PMI_123	KAH8550433.1	381.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	2.7e-64	231.0	19.0	1.0	1.0	1.6999999999999998e-69	2.7e-64	231.0	19.0	15.0	182.0	175.0	340.0	163.0	340.0	0.95	endo-beta-D-1,4-glucanase [Umbelopsis sp. PMI_123]	False	Eukaryota	Fungi	Mucoromycota	Umbelopsidales	Umbelopsis sp. PMI_123	brown
934	2762511.0	Rotaria sp. Silwood1	CAF3742553.1	388.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	2.8e-64	231.0	16.1	1.0	1.0	1.7999999999999998e-69	2.8e-64	231.0	16.1	16.0	181.0	182.0	346.0	173.0	347.0	0.96	unnamed protein product [Rotaria sp. Silwood1]	False	Eukaryota	Metazoa	Rotifera		Rotaria sp. Silwood1	orange
863	2600207.0	Ceratobasidium sp. 428	KAG8791365.1	257.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	2.5e-64	231.1	15.7	1.0	1.0	2e-69	3.2e-64	230.8	15.7	3.0	182.0	39.0	216.0	37.0	216.0	0.97	hypothetical protein FRC12_009420 [Ceratobasidium sp. 428]	False	Eukaryota	Fungi	Basidiomycota	Cantharellales	Ceratobasidium sp. 428	brown
255	158441.0	Folsomia candida	XP_021948187.1	315.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	3.7e-64	230.6	17.5	1.0	1.0	2.4e-69	3.7e-64	230.6	17.5	15.0	181.0	108.0	272.0	94.0	273.0	0.96	endoglucanase-5 [Folsomia candida]	False	Eukaryota	Metazoa	Arthropoda	Entomobryomorpha	Folsomia candida	pink
191	101103.0	Circinella umbellata	KAI7858177.1	417.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	4.1e-64	230.4	17.2	1.0	1.0	2.6e-69	4.1e-64	230.4	17.2	15.0	182.0	210.0	376.0	200.0	376.0	0.95	RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Circinella umbellata]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Circinella umbellata	brown
514	936053.0	Rhizopus delemar	KAG1469285.1	341.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	5.1e-64	230.1	19.1	1.0	1.0	3.2999999999999995e-69	5.1e-64	230.1	19.1	14.0	182.0	130.0	300.0	120.0	300.0	0.94	hypothetical protein G6F56_003339 [Rhizopus delemar]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Rhizopus delemar	brown
558	1108050.0	Rhizoctonia solani AG-1 IB	CEL58598.1	239.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	4.9e-64	230.2	16.8	1.0	1.0	4.4e-69	6.8e-64	229.7	16.8	2.0	182.0	19.0	198.0	18.0	198.0	0.95	Putative endoglucanase type K OS=Fusarium oxysporum PE=2 SV=1 [Rhizoctonia solani AG-1 IB]	False	Eukaryota	Fungi	Basidiomycota	Cantharellales	Rhizoctonia solani	brown
587	1195481.0	Circinella minor	KAG2220707.1	417.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	8.900000000000001e-64	229.3	16.9	1.0	1.0	5.699999999999999e-69	8.900000000000001e-64	229.3	16.9	15.0	182.0	210.0	376.0	200.0	376.0	0.95	hypothetical protein INT45_012571 [Circinella minor]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Circinella minor	brown
164	86635.0	Rhizopus microsporus var. microsporus	ORE01467.1	218.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	6.6e-64	229.7	18.5	1.0	1.0	6e-69	9.3e-64	229.3	18.5	15.0	181.0	10.0	176.0	4.0	177.0	0.96	glycoside hydrolase, partial [Rhizopus microsporus var. microsporus]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Rhizopus microsporus	brown
383	392033.0	Rotaria sordida	CAF1428095.1	287.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1e-63	229.2	15.5	1.0	1.0	6.4e-69	1e-63	229.2	15.5	11.0	181.0	76.0	245.0	71.0	246.0	0.96	unnamed protein product [Rotaria sordida]	False	Eukaryota	Metazoa	Rotifera		Rotaria sordida	orange
131	64641.0	Pilaira anomala	KAI9338866.1	345.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1e-63	229.1	16.4	1.0	1.0	6.599999999999999e-69	1e-63	229.1	16.4	15.0	182.0	139.0	304.0	132.0	304.0	0.97	RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Pilaira anomala]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Pilaira anomala	brown
133	64656.0	Zychaea mexicana	XP_052974061.1	413.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.4e-63	228.7	17.0	1.0	1.0	9.199999999999999e-69	1.4e-63	228.7	17.0	15.0	182.0	207.0	372.0	197.0	372.0	0.96	RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Zychaea mexicana]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	ATCC 32887	brown
196	101130.0	Dichotomocladium elegans	KAI9318689.1	401.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.6e-63	228.5	19.8	1.0	1.0	1e-68	1.6e-63	228.5	19.8	15.0	182.0	195.0	360.0	188.0	360.0	0.97	endo-glucanase RCE3 [Dichotomocladium elegans]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	ATCC 32874	brown
58	38358.0	Bradysia coprophila	XP_037027558.1	223.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.5e-63	228.6	13.6	1.0	1.0	1.3e-68	2e-63	228.2	13.6	3.0	181.0	4.0	183.0	2.0	184.0	0.95	endoglucanase-like [Bradysia coprophila]	False	Eukaryota	Metazoa	Arthropoda	Diptera	Bradysia coprophila	pink
313	269767.0	Aphelenchoides besseyi	ALL62703.1	228.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.4e-63	228.7	16.7	1.0	1.0	1.4999999999999998e-68	2.3e-63	228.0	16.7	6.0	181.0	10.0	184.0	5.0	185.0	0.95	beta-1,4-endoglucanase 2 [Aphelenchoides besseyi]	False	Eukaryota	Metazoa	Nemata	Rhabditida	Aphelenchoides besseyi	orange
332	305860.0	Ceratobasidium sp. AG-I	KAF8597452.1	225.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.6e-63	228.5	15.8	1.0	1.0	1.4999999999999998e-68	2.3e-63	228.0	15.8	4.0	182.0	7.0	184.0	4.0	184.0	0.96	putative glycosyl hydrolase family45 [Ceratobasidium sp. AG-I]	False	Eukaryota	Fungi	Basidiomycota	Cantharellales	Ceratobasidium sp. AG-I	brown
381	392030.0	Rotaria magnacalcarata	CAF3811113.1	284.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	2.4e-63	227.9	15.2	1.0	1.0	1.4999999999999998e-68	2.4e-63	227.9	15.2	16.0	181.0	78.0	242.0	69.0	243.0	0.96	unnamed protein product [Rotaria magnacalcarata]	False	Eukaryota	Metazoa	Rotifera		Rotaria magnacalcarata	orange
757	1582974.0	Ceratobasidium theobromae	KAB5589689.1	207.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	2.1e-63	228.1	16.6	1.0	1.0	1.6999999999999999e-68	2.6e-63	227.8	16.6	7.0	182.0	12.0	186.0	4.0	186.0	0.94	putative effector protein/Endo-1,4-beta-D-glucanase [Ceratobasidium theobromae]	False	Eukaryota	Fungi	Basidiomycota	Cantharellales	Ceratobasidium theobromae	brown
314	269771.0	Phycomyces nitens	KAI9025034.1	325.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	2.6e-63	227.8	16.5	1.0	1.0	1.6999999999999999e-68	2.6e-63	227.8	16.5	16.0	181.0	120.0	283.0	110.0	284.0	0.96	RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Phycomyces nitens]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Phycomyces nitens	brown
856	2598218.0	Psylliodes chrysocephala	CAH1115089.1	236.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.9e-63	228.3	14.4	1.0	1.0	1.8999999999999998e-68	2.9e-63	227.7	14.4	14.0	182.0	26.0	194.0	8.0	194.0	0.93	unnamed protein product [Psylliodes chrysocephala]	False	Eukaryota	Metazoa	Arthropoda	Coleoptera	Psylliodes chrysocephala	pink
655	1340429.0	Rhizopus microsporus ATCC 52813	XP_023462805.1	332.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.8e-63	228.3	18.7	1.0	1.0	2.2e-68	3.4e-63	227.4	18.7	15.0	181.0	124.0	290.0	117.0	291.0	0.96	uncharacterized protein RHIMIDRAFT_309318 [Rhizopus microsporus ATCC 52813]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Rhizopus microsporus	brown
195	101123.0	Pilobolus umbonatus	KAI8980912.1	333.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	3.5e-63	227.4	19.1	1.0	1.0	2.2e-68	3.5e-63	227.4	19.1	15.0	182.0	127.0	292.0	121.0	292.0	0.97	endo-beta-D-1,4-glucanase [Pilobolus umbonatus]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Pilobolus umbonatus	brown
2	4850.0	Blakeslea trispora	KAI8387371.1	326.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	3.6e-63	227.3	17.1	1.0	1.0	2.3e-68	3.6e-63	227.3	17.1	15.0	182.0	120.0	285.0	114.0	285.0	0.97	endo-beta-D-1,4-glucanase [Blakeslea trispora]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Blakeslea trispora	brown
115	58291.0	Rhizopus microsporus	KAG1174255.1	324.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	2e-63	228.2	18.2	1.0	1.0	2.3e-68	3.6e-63	227.3	18.2	15.0	181.0	116.0	282.0	108.0	283.0	0.96	hypothetical protein G6F71_005037 [Rhizopus microsporus]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Rhizopus microsporus	brown
130	64631.0	Benjaminiella poitrasii	KAI9468917.1	290.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	3.9e-63	227.2	19.4	1.0	1.0	2.5e-68	3.9e-63	227.2	19.4	14.0	182.0	83.0	249.0	72.0	249.0	0.96	MAG: K-family cellulase [Benjaminiella poitrasii]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Benjaminiella poitrasii	brown
54	36080.0	Mucor circinelloides	BAD95808.1	338.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	4.3e-63	227.1	20.4	1.0	1.0	2.6999999999999997e-68	4.3e-63	227.1	20.4	15.0	182.0	132.0	297.0	118.0	297.0	0.96	endo-beta-D-1,4-glucanase [Mucor circinelloides]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Mucor circinelloides	brown
189	101091.0	Choanephora cucurbitarum	KAI8373633.1	336.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	2.2e-63	228.0	19.3	1.0	1.0	2.8999999999999996e-68	4.4e-63	227.0	19.3	15.0	182.0	130.0	295.0	122.0	295.0	0.97	endo-beta-D-1,4-glucanase [Choanephora cucurbitarum]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Choanephora cucurbitarum	brown
44	29924.0	Mucor lusitanicus	KAF1799615.1	390.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	4.7e-63	227.0	19.9	1.0	1.0	3e-68	4.7e-63	227.0	19.9	15.0	182.0	184.0	349.0	174.0	349.0	0.96	endo-beta-D-1,4-glucanase [Mucor lusitanicus]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	CBS 108.17	brown
382	392032.0	Rotaria socialis	CAF4804797.1	284.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	5.2e-63	226.8	16.0	1.0	1.0	3.3999999999999998e-68	5.2e-63	226.8	16.0	16.0	181.0	78.0	242.0	69.0	243.0	0.96	unnamed protein product [Rotaria socialis]	False	Eukaryota	Metazoa	Rotifera		Rotaria socialis	orange
139	73868.0	Piromyces sp. E2	OUM67787.1	208.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	4.8e-63	226.9	14.3	1.0	1.0	3.6999999999999996e-68	5.8e-63	226.7	14.3	19.0	182.0	7.0	168.0	1.0	168.0	0.97	glycoside hydrolase family 45 protein, partial [Piromyces sp. E2]	False	Eukaryota	Fungi	Chytridiomycota	Neocallimastigales	Piromyces sp. E2	brown
172	91626.0	Mucor ambiguus	GAN02818.1	346.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	5.9e-63	226.6	20.7	1.0	1.0	3.7999999999999996e-68	5.9e-63	226.6	20.7	15.0	182.0	140.0	305.0	127.0	305.0	0.96	glycoside hydrolase family 45 protein [Mucor ambiguus]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Mucor ambiguus	brown
496	763407.0	Phycomyces blakesleeanus NRRL 1555(-)	XP_018298953.1	357.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	6e-63	226.6	16.9	1.0	1.0	3.8999999999999995e-68	6e-63	226.6	16.9	16.0	181.0	152.0	315.0	136.0	316.0	0.96	glycoside hydrolase family 45 protein [Phycomyces blakesleeanus NRRL 1555(-)]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Phycomyces blakesleeanus	brown
78	43985.0	Galactomyces reessii	KAF5103374.1	407.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	6e-63	226.6	17.2	1.0	1.0	3.8999999999999995e-68	6e-63	226.6	17.2	15.0	181.0	200.0	365.0	192.0	366.0	0.96	hypothetical protein D0Z03_000223 [Galactomyces reessii]	False	Eukaryota	Fungi	Ascomycota	Saccharomycetales	Galactomyces reessii	brown
