target_name	target_accession	tlen	query_name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description_of_target	species
XP_032517350.1	-	473	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.1e-26	105.4	1.4	1	1	9.7e-31	1.3e-25	103.8	1.4	3	65	396	458	394	458	0.97	uncharacterized protein LOC116770107 [Danaus plexippus plexippus]	Danaus plexippus plexippus
OWR43473.1	-	424	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.2e-26	105.4	1.4	1	1	8.2e-31	1.1e-25	104.0	1.4	3	65	347	409	345	409	0.97	hypothetical protein KGM_206343 [Danaus plexippus plexippus]	Danaus plexippus plexippus
XP_004925185.1	-	472	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.7e-26	105.2	3.4	1	1	8.8e-31	1.2e-25	103.9	3.4	2	65	393	456	392	456	0.98	uncharacterized protein LOC101735459 [Bombyx mori]	Bombyx mori
XP_045484069.1	-	422	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	5.3e-26	105.1	0.7	1	1	1.1e-30	1.4e-25	103.7	0.7	2	65	343	406	342	406	0.98	uncharacterized protein LOC110993239 isoform X3 [Pieris rapae]	Pieris rapae
XP_045518138.1	-	434	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.5e-25	103.6	0.7	1	1	3.3e-30	4.6e-25	102.1	0.7	2	65	355	418	354	418	0.98	uncharacterized protein LOC123710351 isoform X3 [Pieris brassicae]	Pieris brassicae
XP_022115115.2	-	438	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.5e-25	103.6	0.7	1	1	1.1e-30	1.5e-25	103.6	0.7	2	65	359	422	358	422	0.98	uncharacterized protein LOC110993239 isoform X2 [Pieris rapae]	Pieris rapae
CAH4028548.1	-	444	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.6e-25	103.6	0.7	1	1	3.4e-30	4.7e-25	102.0	0.7	2	65	365	428	364	428	0.98	unnamed protein product [Pieris brassicae]	Pieris brassicae
CAH4028549.1	-	443	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.6e-25	103.6	0.7	1	1	3.4e-30	4.7e-25	102.0	0.7	2	65	364	427	363	427	0.98	unnamed protein product [Pieris brassicae]	Pieris brassicae
XP_037294485.1	-	337	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.6e-25	103.5	4.2	1	1	2.5e-30	3.4e-25	102.5	4.2	2	65	258	321	257	321	0.98	uncharacterized protein LOC115456388 [Manduca sexta]	Manduca sexta
XP_045518136.1	-	463	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.6e-25	103.5	0.7	1	1	3.7e-30	5e-25	101.9	0.7	2	65	384	447	383	447	0.98	uncharacterized protein LOC123710351 isoform X1 [Pieris brassicae]	Pieris brassicae
XP_045518137.1	-	462	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.7e-25	103.5	0.7	1	1	3.6e-30	5e-25	101.9	0.7	2	65	383	446	382	446	0.98	uncharacterized protein LOC123710351 isoform X2 [Pieris brassicae]	Pieris brassicae
XP_022115107.2	-	467	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.7e-25	103.5	0.7	1	1	1.2e-30	1.7e-25	103.5	0.7	2	65	388	451	387	451	0.98	uncharacterized protein LOC110993239 isoform X1 [Pieris rapae]	Pieris rapae
GBP55299.1	-	397	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.7e-25	103.4	2.1	1	1	2.7e-30	3.7e-25	102.4	2.1	3	65	319	381	317	381	0.98	hypothetical protein EVAR_43053_1 [Eumeta japonica]	Eumeta japonica
XP_047503989.1	-	468	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.8e-25	102.8	1.0	1	1	7.7e-30	1.1e-24	100.9	1.0	2	65	389	452	388	452	0.98	uncharacterized protein LOC125049033 isoform X1 [Pieris napi]	Pieris napi
XP_047503990.1	-	443	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.8e-25	102.7	1.0	1	1	7.1e-30	9.7e-25	101.0	1.0	2	65	364	427	363	427	0.98	uncharacterized protein LOC125049033 isoform X2 [Pieris napi]	Pieris napi
KAJ0176808.1	-	516	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.3e-25	102.5	1.7	1	1	6.6e-30	9e-25	101.1	1.7	2	65	437	500	436	500	0.98	hypothetical protein K1T71_007987 [Dendrolimus kikuchii]	Dendrolimus kikuchii
XP_045518139.1	-	380	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.7e-25	102.4	0.7	1	1	2.7e-30	3.7e-25	102.4	0.7	2	65	301	364	300	364	0.98	uncharacterized protein LOC123710351 isoform X4 [Pieris brassicae]	Pieris brassicae
CAG9786559.1	-	287	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.8e-25	102.0	3.3	1	1	8.2e-30	1.1e-24	100.8	3.3	4	65	204	271	201	271	0.93	unnamed protein product [Diatraea saccharalis]	Diatraea saccharalis
XP_047503992.1	-	439	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	9.6e-25	101.0	1.0	1	1	7e-30	9.6e-25	101.0	1.0	2	65	360	423	359	423	0.98	uncharacterized protein LOC125049033 isoform X3 [Pieris napi]	Pieris napi
CAF4917724.1	-	467	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1e-24	100.9	1.0	1	1	7.6e-30	1e-24	100.9	1.0	2	65	388	451	387	451	0.98	unnamed protein product [Pieris macdunnoughi]	Pieris macdunnoughi
XP_047030444.1	-	541	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.6e-24	99.6	2.2	1	1	5.3e-29	7.2e-24	98.2	2.2	2	65	461	525	460	525	0.97	uncharacterized protein LOC124637812 [Helicoverpa zea]	Helicoverpa zea
XP_026735188.1	-	539	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3e-24	99.4	2.2	1	1	5.2e-29	7.2e-24	98.2	2.2	3	65	460	523	458	523	0.97	uncharacterized protein LOC113499052 [Trichoplusia ni]	Trichoplusia ni
XP_021184513.2	-	542	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.2e-24	99.4	2.2	1	1	5.3e-29	7.3e-24	98.2	2.2	2	65	462	526	461	526	0.97	uncharacterized protein LOC110372247 [Helicoverpa armigera]	Helicoverpa armigera
PZC82124.1	-	542	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.3e-24	99.3	2.2	1	1	5.3e-29	7.3e-24	98.2	2.2	2	65	462	526	461	526	0.97	hypothetical protein B5X24_HaOG211214 [Helicoverpa armigera]	Helicoverpa armigera
CAD0201499.1	-	537	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.5e-24	98.9	2.1	1	1	8.7e-29	1.2e-23	97.5	2.1	4	65	459	521	457	521	0.97	unnamed protein product [Chrysodeixis includens]	Chrysodeixis includens
CAB3236587.1	-	522	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.2e-23	96.7	1.7	1	1	3.5e-28	4.8e-23	95.6	1.7	3	65	445	507	443	507	0.97	unnamed protein product [Arctia plantaginis]	Arctia plantaginis
CAB3261187.1	-	522	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.3e-23	96.6	1.7	1	1	3.5e-28	4.8e-23	95.6	1.7	3	65	445	507	443	507	0.97	unnamed protein product [Arctia plantaginis]	Arctia plantaginis
MBQ7667786.1	-	1259	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.6e-23	96.4	50.6	1	10	0.025	3.4e+03	12.8	0.0	12	45	73	104	68	116	0.76	S-layer homology domain-containing protein [Clostridia bacterium]	Clostridia bacterium
MBQ7667786.1	-	1259	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.6e-23	96.4	50.6	2	10	0.11	1.6e+04	10.7	0.0	13	37	125	149	119	168	0.80	S-layer homology domain-containing protein [Clostridia bacterium]	Clostridia bacterium
MBQ7667786.1	-	1259	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.6e-23	96.4	50.6	3	10	0.025	3.4e+03	12.8	0.1	13	40	227	254	221	272	0.81	S-layer homology domain-containing protein [Clostridia bacterium]	Clostridia bacterium
MBQ7667786.1	-	1259	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.6e-23	96.4	50.6	4	10	3.5	4.7e+05	5.9	0.2	12	29	277	294	271	313	0.79	S-layer homology domain-containing protein [Clostridia bacterium]	Clostridia bacterium
MBQ7667786.1	-	1259	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.6e-23	96.4	50.6	5	10	0.016	2.2e+03	13.4	0.3	13	45	328	360	322	374	0.80	S-layer homology domain-containing protein [Clostridia bacterium]	Clostridia bacterium
MBQ7667786.1	-	1259	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.6e-23	96.4	50.6	6	10	9.5	1.3e+06	4.5	0.0	13	48	430	465	425	484	0.76	S-layer homology domain-containing protein [Clostridia bacterium]	Clostridia bacterium
MBQ7667786.1	-	1259	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.6e-23	96.4	50.6	7	10	0.043	5.9e+03	12.0	0.2	13	50	532	569	527	584	0.74	S-layer homology domain-containing protein [Clostridia bacterium]	Clostridia bacterium
MBQ7667786.1	-	1259	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.6e-23	96.4	50.6	8	10	0.06	8.2e+03	11.6	0.1	12	37	633	657	627	676	0.77	S-layer homology domain-containing protein [Clostridia bacterium]	Clostridia bacterium
MBQ7667786.1	-	1259	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.6e-23	96.4	50.6	9	10	0.059	8.1e+03	11.6	0.1	12	45	684	715	676	724	0.73	S-layer homology domain-containing protein [Clostridia bacterium]	Clostridia bacterium
MBQ7667786.1	-	1259	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.6e-23	96.4	50.6	10	10	0.0049	6.7e+02	15.0	0.1	12	45	735	768	730	789	0.80	S-layer homology domain-containing protein [Clostridia bacterium]	Clostridia bacterium
KAH9643557.1	-	246	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.7e-23	95.6	4.3	1	1	3.5e-28	4.7e-23	95.6	4.3	3	65	167	230	165	230	0.97	hypothetical protein HF086_011338 [Spodoptera exigua]	Spodoptera exigua
KAF9418254.1	-	537	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	6e-23	95.3	4.3	1	1	1.2e-27	1.7e-22	93.9	4.3	3	65	458	521	456	521	0.97	hypothetical protein HW555_004873 [Spodoptera exigua]	Spodoptera exigua
CAH0691694.1	-	534	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	6.7e-23	95.1	4.3	1	1	1.2e-27	1.6e-22	93.9	4.3	3	65	455	518	453	518	0.97	unnamed protein product [Spodoptera exigua]	Spodoptera exigua
KAF9809250.1	-	537	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.7e-22	93.8	4.7	1	1	3.1e-27	4.2e-22	92.6	4.7	3	65	458	521	456	521	0.97	hypothetical protein SFRURICE_015713 [Spodoptera frugiperda]	Spodoptera frugiperda
KAJ8721877.1	-	549	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.1e-22	93.5	2.0	1	1	3.5e-27	4.8e-22	92.4	2.0	4	65	471	533	468	533	0.94	hypothetical protein PYW08_004279 [Mythimna loreyi]	Mythimna loreyi
CAB3508497.1	-	525	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.5e-22	93.3	3.9	1	1	4.2e-27	5.8e-22	92.1	3.9	4	65	447	509	444	509	0.97	unnamed protein product [Spodoptera littoralis]	Spodoptera littoralis
XP_022837874.1	-	536	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	2.6e-22	93.3	4.6	1	1	4.3e-27	5.9e-22	92.1	4.6	3	65	457	520	455	520	0.97	uncharacterized protein LOC111365004 [Spodoptera litura]	Spodoptera litura
XP_050559974.1	-	539	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	6.3e-22	92.0	4.4	1	1	1.1e-26	1.5e-21	90.8	4.4	3	65	460	523	458	523	0.97	uncharacterized protein LOC118269380 [Spodoptera frugiperda]	Spodoptera frugiperda
KAJ8731590.1	-	549	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	9.2e-22	91.5	1.8	1	1	1.7e-26	2.3e-21	90.2	1.8	5	65	472	533	468	533	0.92	hypothetical protein PYW07_004754 [Mythimna separata]	Mythimna separata
XP_045474599.1	-	367	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.2e-20	87.9	3.6	1	1	3.2e-25	4.4e-20	86.1	3.6	2	63	273	332	272	334	0.95	DNA endonuclease RBBP8-like [Harmonia axyridis]	Harmonia axyridis
KAJ2948920.1	-	634	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.4e-20	87.7	0.6	1	1	1e-25	1.4e-20	87.7	0.6	2	65	555	618	554	618	0.97	hypothetical protein O0L34_g5855 [Tuta absoluta]	Tuta absoluta
KAF5272189.1	-	311	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	3.7e-20	86.4	2.3	1	1	2.7e-25	3.7e-20	86.4	2.3	2	64	244	304	243	305	0.95	hypothetical protein FQA39_LY01271 [Lamprigera yunnana]	Lamprigera yunnana
XP_044754777.1	-	376	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	4.7e-20	86.0	3.5	1	1	3.4e-25	4.7e-20	86.0	3.5	2	63	283	342	282	344	0.96	uncharacterized protein LOC123313813 [Coccinella septempunctata]	Coccinella septempunctata
XP_049873003.1	-	515	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	9.2e-20	85.1	0.8	1	1	6.7e-25	9.2e-20	85.1	0.8	2	65	436	499	435	499	0.98	uncharacterized protein LOC126371716 isoform X2 [Pectinophora gossypiella]	Pectinophora gossypiella
XP_049873002.1	-	576	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.1e-19	84.9	0.8	1	1	7.8e-25	1.1e-19	84.9	0.8	2	65	497	560	496	560	0.98	nucleolar protein dao-5 isoform X1 [Pectinophora gossypiella]	Pectinophora gossypiella
XP_030750927.1	-	402	GCF_012932325.1;XP_034233350.1;Meta_(219,283)	-	65	1.2e-19	84.7	0.3	1	1	8.6e-25	1.2e-19	84.7	0.3	2	62	332	389	331	392	0.96	uncharacterized protein LOC115878541 isoform X2 [Sitophilus oryzae]	Sitophilus oryzae
