	taxid	species	target_name	tlen	query name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description of target	chimera	superkingdom	kingdom	phylum	order	sci_name	color
174	1402497	Pseudomonas aeruginosa 19660	ERX33760.1	124.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	2.5e-05	38.9	0.0	1.0	1.0	6.8e-11	5.3e-05	37.9	0.0	10.0	124.0	12.0	118.0	5.0	122.0	0.85	hypothetical protein Q010_04093 [Pseudomonas aeruginosa 19660]	False	Bacteria		Pseudomonadota	Pseudomonadales	Pseudomonas aeruginosa	blue
1	237	Flavobacterium	WP_144219404.1	142.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	4.4e-05	38.1	0.0	1.0	1.0	8.8e-11	6.8e-05	37.5	0.0	16.0	120.0	32.0	129.0	25.0	137.0	0.82	MULTISPECIES: hypothetical protein [Flavobacterium]	False	Bacteria		Bacteroidota	Flavobacteriales	237	blue
139	712150	Aggregatibacter sp. oral taxon 513	WP_212510279.1	145.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	3.7e-05	38.4	0.0	1.0	1.0	1.2e-10	9.1e-05	37.1	0.0	13.0	124.0	35.0	134.0	23.0	138.0	0.82	hypothetical protein [Aggregatibacter sp. oral taxon 513]	False	Bacteria		Pseudomonadota	Pasteurellales	Aggregatibacter sp. oral taxon 513	blue
337	2897326	Chryseobacterium sp. LC2016-27	WP_230652042.1	169.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	5.6000000000000006e-05	37.8	0.0	1.0	1.0	1.2e-10	9.1e-05	37.1	0.0	17.0	125.0	63.0	164.0	54.0	169.0	0.8	hypothetical protein [Chryseobacterium sp. LC2016-27]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. LC2016-27	blue
234	2005457	Cylindrospermum sp. NIES-4074	BAZ32184.1	129.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	3.7e-05	38.4	0.0	1.0	1.0	1.3000000000000002e-10	0.0001	36.9	0.0	17.0	124.0	21.0	121.0	13.0	126.0	0.8	hypothetical protein NIES4074_46860 [Cylindrospermum sp. NIES-4074]	False	Bacteria		Cyanobacteriota	Nostocales	Cylindrospermum sp. NIES-4074	blue
65	59732	Chryseobacterium	WP_185147660.1	129.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	7.6e-05	37.4	0.0	1.0	1.0	1.3999999999999998e-10	0.00011	36.9	0.0	15.0	124.0	19.0	121.0	9.0	127.0	0.86	MULTISPECIES: hypothetical protein [Chryseobacterium]	False	Bacteria		Bacteroidota	Flavobacteriales	59732	blue
4	286	Pseudomonas	WP_004347833.1	126.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	5.9e-05	37.7	0.0	1.0	1.0	1.7e-10	0.00013	36.6	0.0	10.0	124.0	14.0	120.0	7.0	124.0	0.85	MULTISPECIES: hypothetical protein [Pseudomonas]	False	Bacteria		Pseudomonadota	Pseudomonadales	286	blue
245	2026763	Myxococcales bacterium	MCA9710988.1	149.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0001199999999999	36.7	0.0	1.0	1.0	2.1e-10	0.0001699999999999	36.3	0.0	16.0	119.0	30.0	131.0	24.0	140.0	0.83	hypothetical protein [Myxococcales bacterium]	False	Bacteria		Myxococcota	Myxococcales	Myxococcales bacterium	blue
236	2015076	Chryseobacterium sp. T16E-39	ASK32691.1	130.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00015	36.4	0.0	1.0	1.0	3e-10	0.0002299999999999	35.8	0.0	15.0	124.0	21.0	123.0	12.0	127.0	0.78	hypothetical protein CEY12_05300 [Chryseobacterium sp. T16E-39]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. T16E-39	blue
312	2771428	Chryseobacterium caseinilyticum	WP_191735587.1	127.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0001899999999999	36.1	0.0	1.0	1.0	3.9e-10	0.0003	35.4	0.0	15.0	125.0	19.0	122.0	10.0	127.0	0.83	hypothetical protein [Chryseobacterium caseinilyticum]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium caseinilyticum	blue
121	454130	Aspergillus calidoustus	CEN62699.1	137.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00013	36.6	0.0	1.0	1.0	4.2000000000000005e-10	0.00032	35.3	0.0	15.0	124.0	26.0	128.0	18.0	131.0	0.83	hypothetical protein ASPCAL09331 [Aspergillus calidoustus]	False	Eukaryota	Fungi	Ascomycota	Eurotiales	Aspergillus calidoustus	brown
180	1454222	Pseudomonas aeruginosa EF8E	HCL2715196.1	126.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00014	36.5	0.0	1.0	1.0	4.099999999999999e-10	0.00032	35.3	0.0	10.0	124.0	14.0	120.0	7.0	124.0	0.85	hypothetical protein [Pseudomonas aeruginosa EF8E]	False	Bacteria		Pseudomonadota	Pseudomonadales	Pseudomonas aeruginosa	blue
113	373668	Chryseobacterium ureilyticum	WP_076550124.1	129.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0002299999999999	35.8	0.0	1.0	1.0	4.2000000000000005e-10	0.00033	35.3	0.0	16.0	123.0	20.0	120.0	8.0	128.0	0.83	hypothetical protein [Chryseobacterium ureilyticum]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium ureilyticum	blue
147	1033900	Chryseobacterium sp. PMSZPI	WP_228401584.1	129.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00025	35.7	0.0	1.0	1.0	4.4e-10	0.0003399999999999	35.3	0.0	14.0	125.0	18.0	122.0	7.0	128.0	0.82	hypothetical protein [Chryseobacterium sp. PMSZPI]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. PMSZPI	blue
164	1241982	Chryseobacterium nakagawai	WP_123856136.1	130.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00029	35.5	0.0	1.0	1.0	5.3e-10	0.00041	35.0	0.0	16.0	124.0	20.0	121.0	10.0	127.0	0.84	hypothetical protein [Chryseobacterium nakagawai]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium nakagawai	blue
116	395937	Chryseobacterium rhizosphaerae	WP_115919849.1	125.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00037	35.1	0.0	1.0	1.0	7.2e-10	0.00055	34.6	0.0	13.0	121.0	19.0	118.0	9.0	124.0	0.8	hypothetical protein [Chryseobacterium rhizosphaerae]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium rhizosphaerae Cho et al. 2011	blue
220	1895807	Planctomycetales bacterium 71-10	OJW10298.1	125.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0002399999999999	35.7	0.0	1.0	1.0	7.099999999999997e-10	0.00055	34.6	0.0	15.0	124.0	16.0	116.0	9.0	120.0	0.84	MAG: hypothetical protein BGO49_07055 [Planctomycetales bacterium 71-10]	False	Bacteria		Planctomycetota	Planctomycetales	Planctomycetales bacterium 71-10	blue
237	2020713	Kingella sp. (in: b-proteobacteria)	RKW31095.1	127.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00029	35.5	0.0	1.0	1.0	7.2e-10	0.00056	34.6	0.0	14.0	124.0	20.0	119.0	9.0	122.0	0.86	MAG: hypothetical protein D8B42_04610 [Kingella sp. (in: b-proteobacteria)]	False	Bacteria		Pseudomonadota	Neisseriales	Kingella sp. (in: b-proteobacteria)	blue
260	2153362	Chryseobacterium sp. KBW03	WP_124531931.1	124.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00041	35.0	0.0	1.0	1.0	7.6e-10	0.00058	34.5	0.0	15.0	125.0	14.0	117.0	6.0	122.0	0.84	hypothetical protein [Chryseobacterium sp. KBW03]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. KBW03	blue
11	496	Neisseria macacae	WP_003778183.1	146.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00026	35.7	0.0	1.0	1.0	7.6e-10	0.00058	34.5	0.0	14.0	124.0	37.0	135.0	26.0	139.0	0.84	hypothetical protein [Neisseria macacae]	False	Bacteria		Pseudomonadota	Neisseriales	Neisseria macacae	blue
134	665946	Neisseria sp. GT4A_CT1	EGY60796.1	146.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00027	35.6	0.0	1.0	1.0	8e-10	0.00062	34.4	0.0	14.0	124.0	37.0	135.0	26.0	139.0	0.84	hypothetical protein HMPREF1028_01200 [Neisseria sp. GT4A_CT1]	False	Bacteria		Pseudomonadota	Neisseriales	Neisseria sp. GT4A_CT1	blue
255	2053581	Microscillaceae bacterium	HAS47180.1	150.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0005099999999999	34.7	0.0	1.0	1.0	9e-10	0.0007	34.2	0.0	17.0	123.0	31.0	135.0	27.0	141.0	0.73	hypothetical protein [Microscillaceae bacterium]	False	Bacteria		Bacteroidota	Cytophagales	Microscillaceae bacterium	blue
3	253	Chryseobacterium indologenes	WP_079241912.1	124.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0005	34.7	0.0	1.0	1.0	9.7e-10	0.00075	34.1	0.0	15.0	125.0	14.0	117.0	6.0	122.0	0.83	hypothetical protein [Chryseobacterium indologenes]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium indologenes	blue
263	2183997	Chryseobacterium sp. AG363	WP_228436685.1	124.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00054	34.6	0.0	1.0	1.0	1e-09	0.00078	34.1	0.0	15.0	125.0	14.0	117.0	6.0	122.0	0.85	hypothetical protein [Chryseobacterium sp. AG363]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. AG363	blue
356	3002440	Flavobacterium sp. SUN046	WP_274783380.1	155.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0004799999999999	34.8	0.0	1.0	1.0	1.2e-09	0.00091	33.9	0.0	14.0	124.0	45.0	148.0	36.0	152.0	0.84	hypothetical protein [Flavobacterium sp. SUN046]	False	Bacteria		Bacteroidota	Flavobacteriales	Flavobacterium sp. SUN046	blue
344	2937442	Flavobacterium humidisoli	WP_248727492.1	238.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0003799999999999	35.1	0.0	1.0	1.0	1.2e-09	0.0009199999999999	33.9	0.0	15.0	120.0	18.0	116.0	9.0	124.0	0.77	hypothetical protein [Flavobacterium humidisoli]	False	Bacteria		Bacteroidota	Flavobacteriales	Flavobacterium humidisoli	blue
244	2026747	Candidatus Heimdallarchaeota archaeon	MBN1329156.1	131.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00058	34.5	0.0	1.0	1.0	1.2e-09	0.00093	33.9	0.0	14.0	124.0	23.0	127.0	11.0	130.0	0.77	hypothetical protein [Candidatus Heimdallarchaeota archaeon]	False	Archaea		Candidatus Heimdallarchaeota		Candidatus Heimdallarchaeota archaeon	
279	2497456	Chryseobacterium aureum	WP_126651060.1	124.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00073	34.2	0.0	1.0	1.0	1.3e-09	0.00099	33.8	0.0	15.0	125.0	14.0	117.0	6.0	123.0	0.84	hypothetical protein [Chryseobacterium aureum]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium aureum Lee et al. 2019	blue
305	2717365	Ktedonobacteria bacterium brp13	BCL83045.1	138.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00037	35.2	0.0	1.0	1.0	1.3e-09	0.001	33.7	0.0	14.0	124.0	23.0	125.0	17.0	129.0	0.88	hypothetical protein ccbrp13_55100 [Ktedonobacteria bacterium brp13]	False	Bacteria		Chloroflexota		Ktedonobacteria bacterium brp13	blue
192	1627892	Dokdonia pacifica	WP_229746881.1	163.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00063	34.4	0.0	1.0	1.0	1.3e-09	0.001	33.7	0.0	17.0	125.0	57.0	158.0	48.0	163.0	0.83	hypothetical protein [Dokdonia pacifica]	False	Bacteria		Bacteroidota	Flavobacteriales	CGMCC 1.12184	blue
239	2024580	Plantactinospora sp. KBS50	WP_095567201.1	127.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00072	34.2	0.0	1.0	1.0	1.4e-09	0.0011	33.7	0.0	15.0	124.0	19.0	119.0	9.0	123.0	0.88	hypothetical protein [Plantactinospora sp. KBS50]	False	Bacteria		Actinomycetota	Micromonosporales	Plantactinospora sp. KBS50	blue
206	1810906	Aspergillus carlsbadensis	KAJ0415220.1	140.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00067	34.3	0.0	1.0	1.0	1.6e-09	0.0012	33.5	0.0	15.0	124.0	30.0	133.0	23.0	136.0	0.86	hypothetical protein BJY00DRAFT_266741 [Aspergillus carlsbadensis]	False	Eukaryota	Fungi	Ascomycota	Eurotiales	Aspergillus carlsbadensis	brown
175	1402558	Pseudomonas aeruginosa BL17	ERV08887.1	124.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0005099999999999	34.7	0.0	1.0	1.0	1.6e-09	0.0013	33.4	0.0	13.0	124.0	17.0	118.0	6.0	121.0	0.84	hypothetical protein Q071_05274 [Pseudomonas aeruginosa BL17]	False	Bacteria		Pseudomonadota	Pseudomonadales	Pseudomonas aeruginosa	blue
347	2957803	Chryseobacterium sp. S0630	WP_253317926.1	124.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0008699999999999	33.9	0.0	1.0	1.0	1.7e-09	0.0013	33.4	0.0	15.0	125.0	14.0	117.0	6.0	122.0	0.82	hypothetical protein [Chryseobacterium sp. S0630]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. S0630	blue
242	2026724	Chloroflexota bacterium	TMC85620.1	124.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00085	34.0	0.0	1.0	1.0	1.8e-09	0.0014	33.3	0.0	15.0	71.0	18.0	68.0	14.0	119.0	0.79	hypothetical protein E6J06_03230 [Chloroflexota bacterium]	False	Bacteria		Chloroflexota		Chloroflexota bacterium	blue
238	2021391	Flavobacteriales bacterium	MBL7945015.1	161.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00066	34.3	0.0	1.0	1.0	1.8e-09	0.0014	33.3	0.0	16.0	122.0	54.0	153.0	47.0	159.0	0.78	hypothetical protein [Flavobacteriales bacterium]	False	Bacteria		Bacteroidota	Flavobacteriales	Flavobacteriales bacterium	blue
136	680127	Chryseobacterium culicis	WP_193544945.1	124.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0009599999999999	33.8	0.0	1.0	1.0	1.8e-09	0.0014	33.3	0.0	15.0	124.0	14.0	116.0	6.0	122.0	0.85	hypothetical protein [Chryseobacterium culicis]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium culicis	blue
178	1414727	Chryseobacterium artocarpi	WP_065393296.1	129.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0011	33.6	0.0	1.0	1.0	2e-09	0.0015	33.1	0.0	16.0	123.0	20.0	120.0	7.0	128.0	0.82	hypothetical protein [Chryseobacterium artocarpi]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium artocarpi	blue
140	713556	Chryseobacterium sp. CH21	WP_129039928.1	123.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0011	33.6	0.0	1.0	1.0	2e-09	0.0015	33.1	0.0	15.0	125.0	14.0	117.0	6.0	123.0	0.84	hypothetical protein [Chryseobacterium sp. CH21]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. CH21	blue
197	1735672	Chryseobacterium sp. Leaf201	KQM20589.1	127.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0009599999999999	33.8	0.0	1.0	1.0	2.0999999999999998e-09	0.0016	33.1	0.0	14.0	124.0	18.0	121.0	9.0	126.0	0.78	hypothetical protein ASE55_06270 [Chryseobacterium sp. Leaf201]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. Leaf201	blue
15	739	Aggregatibacter segnis	WP_005715851.1	145.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00058	34.5	0.0	1.0	1.0	2.0999999999999998e-09	0.0016	33.1	0.0	14.0	124.0	36.0	134.0	24.0	138.0	0.81	hypothetical protein [Aggregatibacter segnis]	False	Bacteria		Pseudomonadota	Pasteurellales	Aggregatibacter segnis	blue
354	2983766	Chryseobacterium sp. KC 927	WP_267280818.1	127.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0011	33.6	0.0	1.0	1.0	2.0999999999999998e-09	0.0016	33.1	0.0	15.0	125.0	19.0	122.0	10.0	127.0	0.78	hypothetical protein [Chryseobacterium sp. KC 927]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. KC 927	blue
129	558021	Chryseobacterium aquifrigidense	WP_142016651.1	124.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0012	33.5	0.0	1.0	1.0	2.2e-09	0.0017	33.0	0.0	15.0	125.0	14.0	117.0	6.0	122.0	0.84	hypothetical protein [Chryseobacterium aquifrigidense]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium aquifrigidense	blue
213	1862702	Chryseobacterium sp. KLBC 52	WP_228411997.1	124.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0011	33.5	0.0	1.0	1.0	2.3e-09	0.0018	32.9	0.0	15.0	125.0	14.0	117.0	7.0	122.0	0.82	hypothetical protein [Chryseobacterium sp. KLBC 52]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. KLBC 52	blue
195	1705393	Chryseobacterium sp. ERMR1:04	WP_241775047.1	126.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0012	33.5	0.0	1.0	1.0	2.3e-09	0.0018	33.0	0.0	15.0	121.0	19.0	116.0	10.0	124.0	0.83	hypothetical protein [Chryseobacterium sp. ERMR1:04]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. ERMR1:04	blue
144	880071	Bernardetia litoralis DSM 6794	AFM02747.1	163.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.001	33.7	0.0	1.0	1.0	2.5e-09	0.0019	32.8	0.0	14.0	124.0	52.0	155.0	43.0	161.0	0.78	hypothetical protein Fleli_0258 [Bernardetia litoralis DSM 6794]	False	Bacteria		Bacteroidota	Cytophagales	Bernardetia litoralis	blue
10	490	Neisseria sicca	WP_107843022.1	146.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00081	34.0	0.0	1.0	1.0	2.4e-09	0.0019	32.9	0.0	14.0	124.0	37.0	135.0	26.0	139.0	0.84	hypothetical protein [Neisseria sicca]	False	Bacteria		Pseudomonadota	Neisseriales	Neisseria sicca	blue
160	1219491	Actinomadura sp. WMMB 499	WP_218040145.1	123.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0011	33.6	0.0	1.0	1.0	2.7e-09	0.0021	32.7	0.0	15.0	124.0	19.0	117.0	12.0	120.0	0.88	hypothetical protein [Actinomadura sp. WMMB 499]	False	Bacteria		Actinomycetota	Streptosporangiales	Actinomadura sp. WMMB 499	blue
332	2872310	Flavobacterium potami	WP_223704484.1	238.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.00098	33.8	0.0	1.0	1.0	3.2e-09	0.0025	32.5	0.0	15.0	120.0	18.0	116.0	10.0	124.0	0.77	hypothetical protein [Flavobacterium potami]	False	Bacteria		Bacteroidota	Flavobacteriales	Flavobacterium potami	blue
270	2258963	Chryseobacterium pennipullorum	WP_115925933.1	124.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0016	33.1	0.0	1.0	1.0	3.2e-09	0.0025	32.5	0.0	15.0	124.0	14.0	116.0	6.0	121.0	0.82	hypothetical protein [Chryseobacterium pennipullorum]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium pennipullorum Oosthuizen et al. 2019	blue
248	2035214	Chryseobacterium sp. 7	WP_228437657.1	124.0	GCF_002217175.1;XP_035708168.1;HGT_(274,388)	-	130.0	0.0017	33.0	0.0	1.0	1.0	3.2e-09	0.0025	32.5	0.0	15.0	124.0	14.0	116.0	6.0	122.0	0.83	hypothetical protein [Chryseobacterium sp. 7]	False	Bacteria		Bacteroidota	Flavobacteriales	Chryseobacterium sp. 7	blue
